team1,team2,id,season,city,date,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
Sunrisers Hyderabad,Royal Challengers Bangalore,1,2017,Hyderabad,4/5/2017,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,35,0,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,NJ Llong,
Mumbai Indians,Rising Pune Supergiant,2,2017,Pune,4/6/2017,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,7,SPD Smith,Maharashtra Cricket Association Stadium,A Nand Kishore,S Ravi,
Gujarat Lions,Kolkata Knight Riders,3,2017,Rajkot,4/7/2017,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,10,CA Lynn,Saurashtra Cricket Association Stadium,Nitin Menon,CK Nandan,
Rising Pune Supergiant,Kings XI Punjab,4,2017,Indore,4/8/2017,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,GJ Maxwell,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,
Royal Challengers Bangalore,Delhi Daredevils,5,2017,Bangalore,4/8/2017,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,15,0,KM Jadhav,M Chinnaswamy Stadium,,,
Gujarat Lions,Sunrisers Hyderabad,6,2017,Hyderabad,4/9/2017,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,9,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh,NJ Llong,
Kolkata Knight Riders,Mumbai Indians,7,2017,Mumbai,4/9/2017,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,N Rana,Wankhede Stadium,Nitin Menon,CK Nandan,
Royal Challengers Bangalore,Kings XI Punjab,8,2017,Indore,4/10/2017,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,0,8,AR Patel,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,
Delhi Daredevils,Rising Pune Supergiant,9,2017,Pune,4/11/2017,Rising Pune Supergiant,field,normal,0,Delhi Daredevils,97,0,SV Samson,Maharashtra Cricket Association Stadium,AY Dandekar,S Ravi,
Sunrisers Hyderabad,Mumbai Indians,10,2017,Mumbai,4/12/2017,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,JJ Bumrah,Wankhede Stadium,Nitin Menon,CK Nandan,
Kings XI Punjab,Kolkata Knight Riders,11,2017,Kolkata,4/13/2017,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,SP Narine,Eden Gardens,A Deshmukh,NJ Llong,
Royal Challengers Bangalore,Mumbai Indians,12,2017,Bangalore,4/14/2017,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,KA Pollard,M Chinnaswamy Stadium,KN Ananthapadmanabhan,AK Chaudhary,
Rising Pune Supergiant,Gujarat Lions,13,2017,Rajkot,4/14/2017,Gujarat Lions,field,normal,0,Gujarat Lions,0,7,AJ Tye,Saurashtra Cricket Association Stadium,A Nand Kishore,S Ravi,
Kolkata Knight Riders,Sunrisers Hyderabad,14,2017,Kolkata,4/15/2017,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,17,0,RV Uthappa,Eden Gardens,AY Dandekar,NJ Llong,
Delhi Daredevils,Kings XI Punjab,15,2017,Delhi,4/15/2017,Delhi Daredevils,bat,normal,0,Delhi Daredevils,51,0,CJ Anderson,Feroz Shah Kotla,YC Barde,Nitin Menon,
Gujarat Lions,Mumbai Indians,16,2017,Mumbai,4/16/2017,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,N Rana,Wankhede Stadium,A Nand Kishore,S Ravi,
