year,title,imdbRating,ratingCount,duration
1921,Der Vagabund und das Kind (1921),8.4,40550,3240
1925,Goldrausch (1925),8.3,45319,5700
1927,Metropolis (1927),8.4,81007,9180
1926,Der General (1926),8.3,37521,6420
1931,Lichter der Großstadt (1931),8.7,70057,5220
1931,M (1931),8.5,73726,7020
1934,Es geschah in einer Nacht (1934),8.3,46503,6300
1936,Moderne Zeiten (1936),8.6,90847,5220
1939,Vom Winde verweht (1939),8.2,160414,14280
1939,Mr. Smith geht nach Washington (1939),8.4,58169,7740
1939,Der Zauberer von Oz (1939),8.1,209506,6120
1940,Früchte des Zorns (1940),8.2,45737,7740
1940,Der große Diktator (1940),8.5,87969,7500
1940,Rebecca (1940),8.3,65670,7800
1941,Citizen Kane (1941),8.5,228617,7140
1941,Die Spur des Falken (1941),8.2,86012,6000
1942,Casablanca (1942),8.6,296802,6120
1944,Frau ohne Gewissen (1944),8.5,71266,6420
1946,Die besten Jahre unseres Lebens (1946),8.3,30002,10320
1946,Tote schlafen fest (1946),8.1,50020,6840
1946,It's a Wonderful Life (1946),8.7,197764,7800
1946,Berüchtigt (1946),8.2,56306,6060
1948,Fahrraddiebe (1948),8.4,63797,5280
1948,Cocktail für eine Leiche (1948),8.1,72370,4800
1948,Der Schatz der Sierra Madre (1948),8.4,59298,7560
1949,Der dritte Mann (1949),8.4,85964,6240
1950,Alles über Eva (1950),8.4,61738,8280
1950,Rashomon (1950),8.4,74219,5280
1950,Boulevard der Dämmerung (1950),8.6,102072,6600
1951,Der Fremde im Zug (1951),8.1,69387,5520
1952,Zwölf Uhr mittags (1952),8.2,60817,5100
1952,Ikiru - Einmal richtig leben (1952),8.4,29478,8580
1952,Du sollst mein Glücksstern sein (1952),8.4,108115,6180
1953,Ein Herz und eine Krone (1953),8.1,69739,7080
1953,Stalag 17 (1953),8.1,36013,6960
1955,Die Teuflischen (1955),8.3,29309,6840
1954,Bei Anruf Mord (1954),8.2,72579,6300
1954,Die Faust im Nacken (1954),8.3,74023,6480
1954,Das Fenster zum Hof (1954),8.6,229323,6720
1954,Die sieben Samurai (1954),8.8,172690,12420
1954,Das Lied der Straße (1954),8.2,35143,6480
1955,Die Nacht des Jägers (1955),8.1,47739,5580
1956,Killing (1956),8.1,47740,5100
1957,Die zwölf Geschworenen (1957),8.9,293725,5760
1957,Die Brücke am Kwai (1957),8.3,109972,9660
1957,Wege zum Ruhm (1957),8.5,84945,5280
1957,Das siebente Siegel (1957),8.3,80684,5760
1957,Wilde Erdbeeren (1957),8.3,45457,5460
1957,Zeugin der Anklage (1957),8.5,40385,6960
1958,Im Zeichen des Bösen (1958),8.2,55474,5700
1958,Vertigo - Aus dem Reich der Toten (1958),8.5,176267,7680
1959,Ben Hur (1959),8.2,115402,12720
1959,Der unsichtbare Dritte (1959),8.5,166029,8160
1959,Sie küßten und sie schlugen ihn (1959),8.2,49996,5940
1959,Manche mögen's heiß (1959),8.4,129721,7200
1960,Das Appartement (1960),8.4,77601,7500
1960,Das süße Leben (1960),8.1,35788,10440
1960,Psycho (1960),8.6,296676,6540
1961,Haie der Großstadt (1961),8.1,47138,8040
1961,Das Urteil von Nürnberg (1961),8.3,28790,11160
1961,Die Leibwache (1961),8.4,53475,6600
1962,Lawrence von Arabien (1962),8.4,140727,12960
1962,Wer die Nachtigall stört (1962),8.4,154978,7740
1963,Achteinhalb (1963),8.2,58426,8280
263157,Dr. Seltsam\,dr seltsam oder wie ich lernte die bombe zu lieben,http://www.imdb.com/title/tt0057012/,8.6
1963,Gesprengte Ketten (1963),8.3,120161,10320
1964,Für eine Handvoll Dollar (1964),8.1,92532,5940
1966,Schlacht um Algier (1966),8.2,25876,7260
1965,Für ein paar Dollar mehr (1965),8.4,104305,7920
1966,Zwei glorreiche Halunken (1966),9,354997,9660
1966,Persona (1966),8.2,40639,5100
1966,Wer hat Angst vor Virginia Woolf? (1966),8.2,41330,7860
1967,Der Unbeugsame (1967),8.2,90643,7560
1967,Die Reifeprüfung (1967),8.1,161502,6360
1968,2001: Odyssee im Weltraum (1968),8.3,295641,9600
1969,Butch Cassidy und Sundance Kid (1969),8.2,111087,6600
1968,Spiel mir das Lied vom Tod (1968),8.7,158065,10500
1971,Uhrwerk Orange (1971),8.4,386962,8160
1972,Der Pate (1972),9.2,821410,10500
1973,Der Clou (1973),8.4,127640,7740
1974,Chinatown (1974),8.3,159935,7800
1974,Der Pate 2 (1974),9.1,541351,12000
1975,Die Ritter der Kokosnuß (1975),8.4,284563,5460
1975,Barry Lyndon (1975),8.1,74677,11040
1975,Hundstage (1975),8.1,137696,7500
1975,Der weiße Hai (1975),8.1,290528,7440
1975,Einer flog über das Kuckucksnest (1975),8.8,492141,7980
1976,Network (1976),8.2,75434,7260
1976,Rocky (1976),8.1,243942,7140
1976,Taxi Driver (1976),8.4,351181,6780
1977,Der Stadtneurotiker (1977),8.2,138617,5580
1977,Krieg der Sterne (1977),8.7,631839,7260
1978,Die durch die Hölle gehen (1978),8.2,174642,10920
1979,Alien - Das unheimliche Wesen aus einer fremden Welt (1979),8.5,391737,7020
1979,Apocalypse Now (1979),8.5,333178,9180
1979,Das Leben des Brian (1979),8.2,198548,5640
1979,Stalker (1979),8.2,47589,9780
1980,Der Elefantenmensch (1980),8.3,120156,7440
1980,Das Imperium schlägt zurück (1980),8.8,563252,7440
1980,Wie ein wilder Stier (1980),8.3,172854,7740
1980,Shining (1980),8.5,418163,8640
1981,Das Boot (1981),8.5,127022,8940
1981,Jäger des verlorenen Schatzes (1981),8.6,473742,6900
1982,Der Blade Runner (1982),8.3,350268,7020
1982,Fanny und Alexander (1982),8.2,30266,11280
1982,Gandhi (1982),8.1,121887,11460
1982,Das Ding aus einer anderen Welt (1982),8.2,188733,6540
1983,Fröhliche Weihnachten (1983),8.1,85811,5640
1983,Die Rückkehr der Jedi-Ritter (1983),8.4,445123,8040
10200,Scarface - Toni\,http://www.imdb.com/title/tt0086250/,8.3,379114
1984,Amadeus (1984),8.4,198201,9600
1984,Nausicaä - Prinzessin aus dem Tal der Winde (1984),8.2,60197,7020
1984,Es war einmal in Amerika (1984),8.4,159607,13740
1984,Terminator (1984),8.1,413108,6420
1985,Zurück in die Zukunft (1985),8.5,478445,6960
1985,Ran (1985),8.3,58697,9720
1986,Aliens - Die Rückkehr (1986),8.5,353899,8220
1986,Platoon (1986),8.2,217699,7200
1986,Stand by Me - Das Geheimnis eines Sommers (1986),8.2,198139,5340
1986,Das Schloss im Himmel (1986),8.1,61387,7440
1987,Full Metal Jacket (1987),8.4,334586,6960
1987,Die Braut des Prinzen (1987),8.2,222749,5880
1988,Stirb langsam (1988),8.3,431906,7860
1988,Die letzten Leuchtkäfer (1988),8.5,85046,5340
1988,Cinema Paradiso (1988),8.5,103093,9300
1988,Mein Nachbar Totoro (1988),8.3,101445,5160
1989,Indiana Jones und der letzte Kreuzzug (1989),8.3,364585,7620
1990,GoodFellas - Drei Jahrzehnte in der Mafia (1990),8.8,515242,8760
1991,Die Schöne und das Biest (1991),8.1,208331,5040
1991,Das Schweigen der Lämmer (1991),8.6,584102,7080
1991,Terminator 2 - Tag der Abrechnung (1991),8.5,523543,8220
1992,Reservoir Dogs - Wilde Hunde (1992),8.4,454684,5940
1992,Erbarmungslos (1992),8.3,205938,7860
1993,...und täglich grüßt das Murmeltier (1993),8.1,309177,6060
1993,Im Namen des Vaters (1993),8.2,74591,7980
1993,Schindlers Liste (1993),8.9,599579,11700
1994,Forrest Gump (1994),8.8,799314,8520
1994,Der König der Löwen (1994),8.5,408078,5340
1994,Léon - Der Profi (1994),8.6,501117,6600
1994,Pulp Fiction (1994),9,911042,9240
1994,Die Verurteilten (1994),9.3,1183395,8520
1994,Drei Farben - Rot (1994),8.1,47730,5940
1995,Before Sunrise - Zwischenstopp in Wien (1995),8.1,119333,6300
1995,Braveheart (1995),8.4,523797,10620
1995,Casino (1995),8.2,236730,10680
1995,Hass (1995),8.1,72274,5880
1995,Heat (1995),8.3,324264,10200
1995,Sieben (1995),8.7,691425,7620
1995,Toy Story (1995),8.3,410650,4860
1995,12 Monkeys (1995),8.1,342200,7740
1995,Underground (1995),8.2,30610,10200
1995,Die üblichen Verdächtigen (1995),8.7,523742,6360
1996,Fargo - Blutiger Schnee (1996),8.2,310335,5880
1996,Trainspotting - Neue Helden (1996),8.2,343921,5640
2000,In the Mood for Love - Der Klang der Liebe (2000),8.1,55016,5880
1998,The Big Lebowski (1998),8.2,380503,7020
1997,Das Leben ist schön (1997),8.6,266261,6960
1997,Good Will Hunting - Der gute Will Hunting (1997),8.2,414269,7560
1997,L.A. Confidential (1997),8.3,319796,8280
1997,Prinzessin Mononoke (1997),8.5,150101,8040
1998,Die Truman Show (1998),8,455656,6180
1998,American History X (1998),8.6,550302,7140
1999,The Green Mile (1999),8.5,499240,11340
1998,Bube Dame König grAS (1998),8.2,304448,6420
2001,Der Herr der Ringe - Die Gefährten (2001),8.9,871819,10680
1998,Der Soldat James Ryan (1998),8.6,600405,10140
1999,Matrix (1999),8.7,841150,8160
1999,Fight Club (1999),8.9,900388,8340
1998,Das Fest (1998),8.2,52322,6300
2003,Der Herr der Ringe - Die Rückkehr des Königs (2003),8.9,845383,12060
2002,Der Herr der Ringe - Die zwei Türme (2002),8.8,760587,10740
1999,Sixth Sense (1999),8.2,516468,6420
2001,Lagaan: Once Upon a Time in India (2001),8.3,33481,13440
1999,American Beauty (1999),8.5,602828,7320
2000,Gladiator (2000),8.5,661296,9300
2000,Requiem for a Dream (2000),8.4,413539,6120
2001,Die Monster AG (2001),8.1,374409,5520
2000,Snatch - Schweine und Diamanten (2000),8.4,432193,6240
2000,Memento (2000),8.6,605480,6780
2001,Die fabelhafte Welt der Amelie (2001),8.5,380600,7320
2001,Chihiros Reise ins Zauberland (2001),8.6,273502,7500
2000,Amores perros (2000),8.2,130465,9240
2001,Donnie Darko (2001),8.1,430315,6780
2002,Der Pianist (2002),8.5,331248,9000
2003,Findet Nemo (2003),8.2,451631,6000
2003,Kill Bill: Vol. 1 (2003),8.2,509895,6660
2001,A Beautiful Mind - Genie und Wahnsinn (2001),8.2,389925,8100
2002,City of God (2002),8.7,386540,7800
2003,Fluch der Karibik (2003),8.1,572501,8580
2004,Vergiss mein nicht (2004),8.4,475849,6480
2002,Infernal Affairs - Die achte Hölle (2002),8.2,68704,6060
2004,Das wandelnde Schloss (2004),8.2,136207,7140
2003,Salinui chueok (2003),8.1,39252,7800
2009,Inglourious Basterds (2009),8.3,561706,9180
