collage,Player,id,height,weight,born,birth_city,birth_state
Indiana University,Curly Armstrong,0,180,77,1918,,
University of Kentucky,Cliff Barker,1,188,83,1921,Yorktown,Indiana
University of Notre Dame,Leo Barnhorst,2,193,86,1924,,
North Carolina State University,Ed Bartels,3,196,88,1925,,
University of Kentucky,Ralph Beard,4,178,79,1927,Hardinsburg,Kentucky
Marquette University,Gene Berce,5,180,79,1926,,
University of Kansas,Charlie Black,6,196,90,1921,Arco,Idaho
Temple University,Nelson Bobb,7,183,77,1924,Philadelphia,Pennsylvania
Muhlenberg College,Jake Bornheimer,8,196,90,1927,New Brunswick,New Jersey
University of Denver,Vince Boryla,9,196,95,1927,East Chicago,Indiana
Western Michigan University,Don Boven,10,193,95,1925,Kalamazoo,Michigan
St. John's University,Harry Boykoff,11,208,102,1922,Brooklyn,New York
Oklahoma State University,Joe Bradley,12,190,79,1928,Washington,Oklahoma
Michigan State University,Bob Brannum,13,196,97,1925,,
Colgate University,Carl Braun,14,196,81,1927,Brooklyn,New York
Louisiana State University,Frankie Brian,15,185,81,1923,Zachary,Louisiana
West Texas A&M University,Price Brookfield,16,193,83,1920,Floydada,Texas
Miami University,Bob Brown,17,193,92,1923,Versailles,Ohio
,Jim Browne,18,208,106,1930,Midlothian,Illinois
Columbia University,Walt Budko,19,196,99,1925,Kearney,New Jersey
University of Illinois at Urbana-Champaign,Jack Burmaster,20,190,86,1926,,
Seton Hall University,Tommy Byrnes,21,190,79,1923,Teaneck,New Jersey
City College of San Francisco,Bill Calhoun,22,190,81,1927,San Francisco,California
University of Minnesota,Don Carlson,23,183,77,1919,Minneapolis,Minnesota
East Texas State University,Bob Carpenter,24,196,90,1917,,
East Texas State University,Jake Carter,25,193,88,1924,,
,Al Cervi*,26,180,77,1917,Buffalo,New York
Louisiana State University,John Chaney,27,190,83,1920,,
Canisius College,Leroy Chollet,28,188,86,1925,New Orleans,Louisiana
Rice University,Bill Closs,29,196,88,1922,Edge,Texas
University of Wisconsin,Paul Cloyd,30,188,81,1920,,
University of Louisville,Jack Coleman,31,201,88,1924,Burgin,Kentucky
University of Wisconsin,Bobby Cook,32,178,70,1923,,
Georgetown University,Ray Corley,33,183,81,1928,,
University of Wyoming,Jack Cotton,34,201,90,1924,Miles City,Montana
Western Michigan University,Dillard Crocker,35,193,92,1925,Coffee County,Tennessee
University of Pennsylvania,Chink Crossin,36,185,74,1923,Luzerne,Pennsylvania
University of Notre Dame,Fran Curran,37,183,79,1922,Sterling,Illinois
University of Denver,Jimmy Darden,38,185,77,1922,,
Seton Hall University,Bob Davies*,39,185,79,1920,Harrisburg,Pennsylvania
University of North Carolina,Hook Dillon,40,190,81,1924,Savannah,Georgia
Truman State University,Earl Dodd,41,196,79,1924,,
New York University,Joe Dolhon,42,183,79,1927,,
University of Colorado,Bob Doll,43,196,88,1919,Steamboat Springs,Colorado
Muhlenberg College,Harry Donovan,44,188,81,1926,Union City,New Jersey
College of William & Mary,Andy Duncan,45,198,88,1922,,
University of Illinois at Urbana-Champaign,Dike Eddleman,46,190,85,1922,Centralia,Illinois
University of Wisconsin,Gene Englund,47,196,92,1917,Kenosha,Wisconsin
Butler University,Bob Evans,48,188,79,1925,Indianapolis,Indiana
University of Rhode Island,Johnny Ezersky,49,190,79,1922,New York,New York
Santa Clara University,Bob Feerick,50,190,86,1920,San Francisco,California
University of Kentucky,George Feigenbaum,51,185,83,1929,,
University of Utah,Arnie Ferrin,52,188,81,1925,Salt Lake City,Utah
New York University,Jerry Fleishman,53,188,86,1922,Brooklyn,New York
Murray State University,Joe Fulks*,54,196,86,1921,Birmingham,Kentucky
Syracuse University,Bill Gabor,55,180,77,1922,,
DePaul University,Elmer Gainer,56,198,88,1918,Chicago,Illinois
Truman State University,Harry Gallatin*,57,198,95,1927,Roxana,Illinois
University of Utah,Vern Gardner,58,196,90,1925,Afton,Wyoming
Sam Houston State University,Frank Gates,59,183,72,1920,,
Western Kentucky University,Dee Gibson,60,180,79,1923,,
Creighton University,Hoot Gibson,61,196,89,1921,,
University of Washington,Chuck Gilmur,62,193,102,1922,,
Loyola Marymount University,Normie Glick,63,201,86,1927,,
University of Notre Dame,Paul Gordon,64,190,83,1927,,
,Joe Graboski,65,201,88,1930,,
University of Minnesota,Bud Grant,66,190,88,1927,Superior,Wisconsin
Ohio State University,Don Grate,67,188,83,1923,Greenfield,Ohio
University of Kentucky,Alex Groza,68,201,98,1926,Martins Ferry,Ohio
Saint Joseph's University,Al Guokas,69,196,90,1925,,
North Carolina State University,Robert Hahn,70,208,108,1925,,
West Texas A&M University,Chick Halbert,71,206,102,1919,Albany,Texas
Santa Clara University,Bruce Hale,72,185,77,1918,Medford,Oregon
Franklin College,Dale Hamilton,73,183,81,1919,,
University of Southern California,Alex Hannum*,74,201,95,1923,Los Angeles,California
