prize,race_id,date,venue,race_no,surface,distance,going,horse_ratings,race_class,sec_time,win_combination
485000,0,6/2/1997,ST,1,0,1400,GOOD TO FIRM,40-15,5,13.53,8
485000,1,6/2/1997,ST,2,0,1200,GOOD TO FIRM,40-15,5,24.05,5
625000,2,6/2/1997,ST,3,0,1400,GOOD TO FIRM,60-40,4,13.77,11
1750000,3,6/2/1997,ST,4,0,1200,GOOD TO FIRM,120-95,1,24.33,5
625000,4,6/2/1997,ST,5,0,1600,GOOD TO FIRM,60-40,4,25.45,2
625000,5,6/2/1997,ST,6,0,1200,GOOD TO FIRM,60-40,4,23.47,9
485000,10,6/4/1997,HV,1,0,1650,GOOD TO FIRM,40-15,5,27.53,2
625000,11,6/4/1997,HV,2,0,1650,GOOD TO FIRM,60-40,4,27.67,2
625000,12,6/4/1997,HV,3,0,1200,GOOD TO FIRM,60-40,4,23.92,1
625000,13,6/4/1997,HV,4,0,1000,GOOD TO FIRM,60-40,4,12.8,1
850000,25,6/8/1997,ST,8,1,1200,GOOD,80-60,3,23.78,9
1750000,26,6/8/1997,ST,9,0,1400,GOOD TO FIRM,115-90,1,13.52,3
850000,27,6/8/1997,ST,10,0,1400,GOOD TO FIRM,85-60,3,13.75,5
485000,31,6/11/1997,HV,4,0,1650,GOOD TO YIELDING,40-15,5,27.88,3
625000,32,6/11/1997,HV,5,0,1650,GOOD TO YIELDING,65-40,4,27.64,9
850000,33,6/11/1997,HV,6,0,1800,GOOD,80-60,3,13.91,10
850000,34,6/11/1997,HV,7,0,1200,GOOD,80-60,3,24.16,5
1150000,35,6/11/1997,HV,8,0,1650,GOOD,95-75,2,27.43,10
625000,36,6/15/1997,ST,1,0,1200,GOOD TO FIRM,60-40,4,23.75,10
485000,37,6/15/1997,ST,2,0,1600,GOOD TO FIRM,40-15,5,24.5,12
625000,38,6/15/1997,ST,3,0,1200,GOOD TO FIRM,60-40,4,23.7,3
485000,39,6/15/1997,ST,4,0,1400,GOOD TO FIRM,40-15,5,13.81,4
625000,40,6/15/1997,ST,5,0,1400,GOOD TO FIRM,60-40,4,13.72,2
850000,51,6/18/1997,ST,6,0,1000,GOOD TO FIRM,80-60,3,13.62,8
